,img,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,true_label
1072,img_34061.jpg,0.01,0.02,0.01,0.01,0.01,0.01,0.06,0.03,0.53,0.35,1
1137,img_34186.jpg,0.15,0.01,0.01,0.01,0.01,0.01,0.10,0.01,0.01,0.73,1
6558,img_34307.jpg,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.71,0.01,0.21,1
1065,img_34422.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.12,0.01,0.27,1
1075,img_34687.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.02,1
90,img_3470.jpg,0.13,0.11,0.01,0.04,0.01,0.01,0.01,0.01,0.71,0.01,1
4717,img_34789.jpg,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.95,1
5782,img_35267.jpg,0.02,0.01,0.55,0.03,0.01,0.01,0.01,0.39,0.01,0.01,1
7427,img_35302.jpg,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.10,0.72,1
6572,img_35339.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0.01,0.01,1
4777,img_35433.jpg,0.37,0.01,0.02,0.01,0.01,0.01,0.01,0.04,0.01,0.58,1
1135,img_35576.jpg,0.23,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.69,1
3406,img_35718.jpg,0.01,0.10,0.01,0.01,0.10,0.01,0.01,0.76,0.01,0.03,1
96,img_3590.jpg,0.12,0.08,0.01,0.63,0.01,0.01,0.01,0.09,0.08,0.01,1
3425,img_35919.jpg,0.01,0.14,0.01,0.01,0.12,0.01,0.01,0.58,0.15,0.01,1
7372,img_35964.jpg,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.67,1
6556,img_36010.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.01,0.01,1
7360,img_36088.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.75,1
125,img_36391.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,1
4746,img_36845.jpg,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.79,1
1119,img_36969.jpg,0.03,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.50,1
7420,img_37460.jpg,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,1
1111,img_37868.jpg,0.04,0.16,0.01,0.01,0.11,0.01,0.66,0.01,0.01,0.03,1
4022,img_38112.jpg,0.01,0.13,0.01,0.03,0.01,0.01,0.01,0.16,0.01,0.68,1
5766,img_38140.jpg,0.01,0.01,0.88,0.17,0.01,0.01,0.01,0.01,0.01,0.01,1
4710,img_38147.jpg,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.99,1
4708,img_38192.jpg,0.01,0.01,0.40,0.01,0.01,0.01,0.16,0.01,0.01,0.42,1
5796,img_38428.jpg,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42,1
5764,img_38434.jpg,0.01,0.01,0.63,0.37,0.01,0.01,0.01,0.01,0.01,0.01,1
7401,img_38696.jpg,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.10,0.57,1
6574,img_38741.jpg,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.04,1
7352,img_3879.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,1
107,img_3963.jpg,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0.01,1
1130,img_40027.jpg,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.96,1
119,img_40045.jpg,0.03,0.01,0.01,0.09,0.01,0.01,0.01,0.01,0.91,0.01,1
135,img_40469.jpg,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.13,0.02,1
133,img_40701.jpg,0.03,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.65,0.01,1
7402,img_41412.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.38,0.62,1
7389,img_41665.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.93,1
5790,img_42047.jpg,0.01,0.01,0.17,0.79,0.01,0.01,0.01,0.01,0.01,0.02,1
7394,img_42169.jpg,0.08,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.74,1
6528,img_42241.jpg,0.20,0.13,0.01,0.01,0.01,0.01,0.01,0.62,0.01,0.01,1
132,img_42544.jpg,0.02,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.98,0.01,1
5799,img_42853.jpg,0.20,0.01,0.02,0.31,0.01,0.01,0.01,0.01,0.42,0.04,1
91,img_42871.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,1
1010,img_42876.jpg,0.01,0.33,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.49,1
4716,img_4312.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.94,1
5778,img_43628.jpg,0.01,0.01,0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
1081,img_43786.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.62,1
7351,img_44314.jpg,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,1
1138,img_44362.jpg,0.09,0.06,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.88,1
1083,img_4454.jpg,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.04,0.94,1
6570,img_4496.jpg,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.93,0.01,0.09,1
4735,img_45089.jpg,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0.05,0.93,1
6555,img_4525.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0.01,0.01,1
5780,img_45506.jpg,0.01,0.01,0.86,0.19,0.01,0.01,0.01,0.01,0.01,0.01,1
163,img_45922.jpg,0.01,0.02,0.01,0.09,0.01,0.01,0.01,0.01,0.79,0.10,1
4714,img_45958.jpg,0.01,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.02,0.01,1
88,img_45976.jpg,0.21,0.14,0.01,0.01,0.28,0.03,0.01,0.08,0.27,0.01,1
6545,img_45998.jpg,0.01,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.69,1
1069,img_46247.jpg,0.01,0.02,0.01,0.01,0.21,0.01,0.53,0.01,0.01,0.21,1
7344,img_46867.jpg,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.71,1
5777,img_47552.jpg,0.01,0.03,0.93,0.01,0.01,0.01,0.01,0.01,0.08,0.01,1
4790,img_47579.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.69,0.22,1
2244,img_47913.jpg,0.03,0.12,0.01,0.01,0.01,0.01,0.10,0.01,0.74,0.01,1
100,img_48025.jpg,0.06,0.01,0.01,0.93,0.01,0.01,0.01,0.01,0.04,0.01,1
3424,img_48063.jpg,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.80,0.04,0.01,1
1122,img_48850.jpg,0.11,0.01,0.01,0.01,0.01,0.03,0.19,0.02,0.01,0.63,1
108,img_4902.jpg,0.12,0.02,0.01,0.30,0.01,0.01,0.01,0.01,0.29,0.26,1
7367,img_49094.jpg,0.48,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.05,0.40,1
4754,img_49212.jpg,0.01,0.01,0.12,0.11,0.01,0.01,0.22,0.01,0.07,0.47,1
4006,img_49415.jpg,0.01,0.12,0.01,0.02,0.01,0.01,0.90,0.01,0.01,0.01,1
4772,img_49562.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,1
127,img_49641.jpg,0.02,0.01,0.01,0.93,0.01,0.01,0.01,0.01,0.09,0.01,1
5795,img_50132.jpg,0.01,0.01,0.31,0.66,0.01,0.01,0.01,0.01,0.03,0.01,1
4718,img_50335.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,1
102,img_50839.jpg,0.09,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.76,0.01,1
1107,img_51087.jpg,0.02,0.34,0.01,0.01,0.04,0.01,0.51,0.06,0.01,0.03,1
150,img_5114.jpg,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,1
1098,img_51709.jpg,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.96,1
143,img_51808.jpg,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.89,0.01,1
1074,img_52165.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0.05,1
7411,img_5242.jpg,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.13,1
4764,img_52480.jpg,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.97,1
4782,img_5280.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.99,1
87,img_53045.jpg,0.12,0.19,0.01,0.01,0.01,0.02,0.01,0.01,0.66,0.01,1
6562,img_53619.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.12,1
94,img_53705.jpg,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.60,0.01,1
7416,img_53728.jpg,0.01,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.29,1
7361,img_53777.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,1
1047,img_53953.jpg,0.10,0.07,0.01,0.01,0.01,0.01,0.39,0.01,0.05,0.39,1
1097,img_54019.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.97,1
4018,img_54029.jpg,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.71,0.01,0.04,1
4728,img_54186.jpg,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.96,1
1066,img_54535.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.88,0.06,0.06,0.05,1
6553,img_54572.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.13,1
3423,img_55112.jpg,0.01,0.07,0.01,0.01,0.28,0.01,0.01,0.61,0.02,0.01,1
1086,img_55309.jpg,0.04,0.06,0.01,0.01,0.01,0.01,0.01,0.10,0.54,0.24,1
7363,img_55432.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,1
7353,img_55482.jpg,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.97,1
6536,img_55567.jpg,0.01,0.31,0.05,0.01,0.01,0.01,0.01,0.02,0.01,0.61,1
5792,img_5568.jpg,0.01,0.01,0.01,0.96,0.01,0.01,0.01,0.02,0.01,0.01,1
4024,img_5598.jpg,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.62,0.01,0.08,1
1095,img_56002.jpg,0.01,0.40,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.59,1
161,img_56082.jpg,0.01,0.01,0.01,0.61,0.01,0.03,0.01,0.01,0.36,0.01,1
3405,img_56097.jpg,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.01,1
4720,img_56139.jpg,0.01,0.01,0.60,0.03,0.01,0.01,0.04,0.01,0.26,0.05,1
7397,img_56524.jpg,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.53,0.25,1
4707,img_56720.jpg,0.01,0.01,0.95,0.01,0.01,0.01,0.05,0.01,0.01,0.04,1
7390,img_56869.jpg,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.96,1
5757,img_56962.jpg,0.01,0.01,0.60,0.40,0.01,0.01,0.01,0.01,0.01,0.01,1
7359,img_57621.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,1
7355,img_5796.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,1
5801,img_58138.jpg,0.65,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.01,1
5758,img_58169.jpg,0.01,0.01,0.71,0.29,0.01,0.01,0.01,0.01,0.01,0.01,1
114,img_58220.jpg,0.03,0.13,0.01,0.02,0.01,0.12,0.07,0.03,0.55,0.05,1
5759,img_58376.jpg,0.01,0.01,0.75,0.25,0.01,0.01,0.01,0.01,0.01,0.01,1
1092,img_5898.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,1
122,img_59864.jpg,0.02,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.85,0.01,1
148,img_60236.jpg,0.01,0.26,0.01,0.55,0.01,0.01,0.01,0.02,0.09,0.08,1
5768,img_60251.jpg,0.01,0.01,0.68,0.32,0.01,0.01,0.01,0.01,0.01,0.01,1
6557,img_60268.jpg,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.96,0.01,0.03,1
3385,img_60321.jpg,0.01,0.45,0.01,0.01,0.05,0.01,0.01,0.46,0.01,0.04,1
6580,img_60331.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.01,0.01,1
84,img_6039.jpg,0.15,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.68,0.01,1
3368,img_60614.jpg,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.61,0.25,0.01,1
5770,img_60804.jpg,0.01,0.01,0.96,0.09,0.01,0.01,0.01,0.01,0.01,0.01,1
145,img_60856.jpg,0.06,0.01,0.01,0.17,0.01,0.02,0.01,0.01,0.73,0.01,1
3409,img_61074.jpg,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.62,0.02,0.01,1
6566,img_61193.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.01,0.02,1
4784,img_61447.jpg,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.97,1
7386,img_61485.jpg,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.96,1
4752,img_61560.jpg,0.01,0.01,0.20,0.03,0.01,0.01,0.04,0.01,0.14,0.57,1
7364,img_62069.jpg,0.07,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,1
6571,img_62085.jpg,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,1
1070,img_62154.jpg,0.01,0.08,0.01,0.01,0.04,0.01,0.31,0.03,0.09,0.43,1
124,img_62226.jpg,0.27,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.68,0.01,1
4005,img_62292.jpg,0.01,0.42,0.01,0.01,0.01,0.01,0.57,0.01,0.01,0.01,1
7415,img_6300.jpg,0.01,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0.53,0.06,1
4767,img_63125.jpg,0.11,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.88,1
4725,img_63201.jpg,0.01,0.01,0.03,0.04,0.01,0.01,0.01,0.01,0.96,0.01,1
7412,img_63233.jpg,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,1
6559,img_63344.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,1
1131,img_63381.jpg,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.96,1
6519,img_6345.jpg,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.26,1
7376,img_6347.jpg,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.80,1
1108,img_63918.jpg,0.01,0.16,0.01,0.01,0.01,0.01,0.88,0.01,0.01,0.01,1
4776,img_63977.jpg,0.10,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.91,1
4773,img_63985.jpg,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.60,0.32,1
4753,img_64278.jpg,0.01,0.01,0.11,0.36,0.01,0.01,0.01,0.01,0.20,0.31,1
5760,img_64494.jpg,0.01,0.01,0.76,0.24,0.01,0.01,0.01,0.01,0.01,0.01,1
4712,img_64496.jpg,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.92,1
4739,img_64526.jpg,0.05,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.12,0.55,1
1071,img_64674.jpg,0.01,0.06,0.01,0.01,0.01,0.01,0.02,0.04,0.14,0.73,1
4755,img_64766.jpg,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,1.00,1
1109,img_64954.jpg,0.01,0.25,0.01,0.01,0.01,0.01,0.71,0.01,0.01,0.02,1
4762,img_65143.jpg,0.01,0.08,0.01,0.24,0.01,0.01,0.01,0.05,0.09,0.52,1
1082,img_65636.jpg,0.01,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.96,1
4771,img_65738.jpg,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.90,1
3383,img_65954.jpg,0.01,0.19,0.01,0.01,0.14,0.01,0.01,0.62,0.01,0.04,1
7391,img_66053.jpg,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.92,1
131,img_66087.jpg,0.28,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.68,0.01,1
7424,img_66222.jpg,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.87,1
6579,img_66329.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.01,1
1073,img_66617.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.31,1
105,img_66790.jpg,0.04,0.23,0.01,0.18,0.01,0.01,0.01,0.01,0.53,0.01,1
5787,img_66980.jpg,0.64,0.01,0.17,0.18,0.01,0.01,0.01,0.01,0.01,0.01,1
6563,img_672.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,0.01,0.06,1
7381,img_67327.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,1
5779,img_67359.jpg,0.01,0.01,0.96,0.08,0.01,0.01,0.01,0.01,0.01,0.01,1
109,img_67409.jpg,0.14,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.38,0.33,1
4759,img_67801.jpg,0.01,0.22,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.50,1
129,img_68392.jpg,0.02,0.01,0.01,0.09,0.01,0.02,0.01,0.01,0.89,0.01,1
101,img_68509.jpg,0.21,0.04,0.01,0.23,0.01,0.01,0.01,0.01,0.49,0.02,1
7423,img_68842.jpg,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.72,1
7379,img_68893.jpg,0.01,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.49,0.22,1
7347,img_69061.jpg,0.01,0.05,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.94,1
1068,img_69298.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.73,0.01,0.03,0.22,1
1127,img_70410.jpg,0.07,0.01,0.01,0.01,0.01,0.03,0.02,0.01,0.06,0.79,1
1120,img_70413.jpg,0.06,0.11,0.01,0.01,0.09,0.02,0.29,0.03,0.01,0.39,1
6568,img_70583.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,0.01,0.07,1
7358,img_70907.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,1
1077,img_71230.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.77,0.22,1
5789,img_71442.jpg,0.01,0.01,0.01,0.97,0.01,0.01,0.01,0.01,0.01,0.01,1
4789,img_72267.jpg,0.03,0.01,0.01,0.01,0.01,0.06,0.01,0.01,0.02,0.92,1
4744,img_72295.jpg,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.97,1
7382,img_72447.jpg,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,1
6565,img_7266.jpg,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.98,0.01,0.01,1
4779,img_72817.jpg,0.20,0.01,0.32,0.01,0.01,0.01,0.01,0.03,0.05,0.40,1
7350,img_7301.jpg,0.07,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,1
7373,img_73034.jpg,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,1
4786,img_73057.jpg,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.99,1
1133,img_73255.jpg,0.08,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,1
4732,img_73298.jpg,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.22,1
7392,img_73485.jpg,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.87,1
1124,img_73606.jpg,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.90,1
7399,img_7368.jpg,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.50,1
5797,img_73713.jpg,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.96,0.01,1
4765,img_73908.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,1
6531,img_73922.jpg,0.02,0.17,0.02,0.23,0.01,0.01,0.01,0.19,0.01,0.37,1
4757,img_73924.jpg,0.03,0.01,0.39,0.01,0.01,0.01,0.01,0.21,0.01,0.33,1
7388,img_74308.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.97,1
7369,img_74326.jpg,0.12,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.76,1
7362,img_74517.jpg,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.16,0.79,1
7377,img_74573.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,1
99,img_74582.jpg,0.13,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.40,0.01,1
5785,img_75176.jpg,0.01,0.01,0.96,0.06,0.01,0.01,0.01,0.01,0.01,0.01,1
5774,img_75253.jpg,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.68,0.16,0.01,1
1088,img_75493.jpg,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.92,1
5761,img_76116.jpg,0.01,0.01,0.63,0.36,0.01,0.01,0.01,0.01,0.01,0.01,1
3408,img_76342.jpg,0.01,0.37,0.01,0.01,0.40,0.01,0.01,0.23,0.01,0.01,1
4715,img_76614.jpg,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.09,0.91,1
6561,img_76632.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.00,0.01,0.01,1
149,img_7665.jpg,0.01,0.12,0.01,0.24,0.01,0.01,0.01,0.04,0.58,0.01,1
144,img_76735.jpg,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.01,1
1094,img_76843.jpg,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.73,1
3370,img_76898.jpg,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.07,0.90,0.01,1
1079,img_76948.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.96,1
1090,img_77000.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.97,1
1114,img_77183.jpg,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.97,1
4775,img_77693.jpg,0.05,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.28,0.62,1
110,img_77908.jpg,0.01,0.08,0.01,0.11,0.01,0.01,0.01,0.01,0.02,0.79,1
1048,img_78289.jpg,0.08,0.18,0.01,0.01,0.01,0.01,0.03,0.01,0.09,0.62,1
4748,img_78785.jpg,0.02,0.01,0.17,0.01,0.01,0.01,0.01,0.02,0.04,0.75,1
7425,img_79000.jpg,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.74,1
97,img_79033.jpg,0.06,0.01,0.01,0.10,0.01,0.01,0.01,0.01,0.85,0.01,1
4749,img_79042.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,1
4791,img_79358.jpg,0.06,0.01,0.11,0.01,0.01,0.08,0.01,0.03,0.35,0.37,1
162,img_7941.jpg,0.01,0.01,0.01,0.64,0.01,0.05,0.01,0.01,0.20,0.09,1
7338,img_79419.jpg,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.96,1
7409,img_80211.jpg,0.01,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0.32,1
6576,img_80337.jpg,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.02,0.01,1
4742,img_80443.jpg,0.05,0.01,0.33,0.01,0.01,0.03,0.01,0.04,0.08,0.47,1
106,img_80626.jpg,0.02,0.34,0.01,0.46,0.01,0.01,0.01,0.07,0.02,0.07,1
5775,img_80692.jpg,0.01,0.04,0.01,0.11,0.01,0.01,0.01,0.51,0.01,0.33,1
82,img_81021.jpg,0.01,0.01,0.01,0.01,0.97,0.01,0.01,0.02,0.06,0.01,1
7357,img_81045.jpg,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.97,1
1038,img_81474.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.74,1
7354,img_81494.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.99,1
4734,img_81830.jpg,0.01,0.01,0.10,0.01,0.01,0.01,0.01,0.01,0.34,0.55,1
118,img_8220.jpg,0.54,0.01,0.01,0.02,0.01,0.05,0.01,0.01,0.38,0.01,1
4730,img_82299.jpg,0.01,0.01,0.04,0.03,0.01,0.01,0.01,0.01,0.10,0.87,1
4751,img_82954.jpg,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.36,0.60,1
6552,img_82957.jpg,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.27,0.01,0.64,1
123,img_8349.jpg,0.39,0.02,0.01,0.10,0.01,0.04,0.01,0.01,0.41,0.02,1
6537,img_83742.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,1.00,1
4783,img_83996.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,1
1139,img_8420.jpg,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,1
6530,img_84433.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.90,0.13,0.01,1
5786,img_8457.jpg,0.02,0.01,0.98,0.04,0.01,0.01,0.01,0.01,0.01,0.01,1
4768,img_84725.jpg,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.75,1
1067,img_84922.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.98,0.03,0.01,0.02,1
1084,img_85229.jpg,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.74,1
93,img_85319.jpg,0.37,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.54,0.01,1
4780,img_86263.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.95,1
7413,img_86495.jpg,0.01,0.40,0.01,0.01,0.01,0.01,0.01,0.01,0.60,0.01,1
140,img_86827.jpg,0.01,0.03,0.01,0.04,0.01,0.01,0.01,0.01,0.97,0.01,1
138,img_86845.jpg,0.35,0.05,0.01,0.01,0.01,0.26,0.01,0.01,0.32,0.01,1
7371,img_86967.jpg,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.98,1
